#wl,A	T,%
11000	-0.0019784046
11010	-0.0091217747
11020	-0.0115693612
11030	0.0348202102
11040	-0.0077788136
11050	0.001071821
11060	-0.0183241069
11070	-0.026747141
11080	0.0241641458
11090	-0.03213837
11100	-0.0410991982
11110	-0.0196880363
11120	-0.015724415
11130	-0.0171991494
11140	-0.0155143496
11150	0.0117028644
11160	-0.0305922497
11170	-0.0124472771
11180	0.0346036106
11190	0.0189779811
11200	-0.009528568
11210	-0.0003179536
11220	0.0036233854
11230	-0.0029439849
11240	0.0146987597
11250	-0.0005738492
11260	0.0036278344
11270	0.0175468195
11280	0.0417776592
11290	0.0407113768
11300	-0.0016600863
11310	0.0117435977
11320	0.0670490637
11330	0.0516700037
11340	0.0214928072
11350	0.0367778726
11360	0.0591936745
11370	0.0646138787
11380	0.1192618161
11390	0.1445502192
11400	0.1585080028
11410	0.2251122892
11420	0.2365127951
11430	0.3204802871
11440	0.377728194
11450	0.4497263134
11460	0.5289065242
11470	0.5822120905
11480	0.7058662772
11490	0.7776024938
11500	0.8712770343
11510	0.9802584648
11520	1.097674012
11530	1.271195292
11540	1.496016383
11550	1.776973009
11560	2.091585875
11570	2.616983414
11580	3.216226101
11590	4.099404812
11600	5.356467724
11610	6.974122047
11620	9.311569214
11630	12.48640537
11640	16.96675682
11650	23.01688576
11660	31.29127884
11670	40.79418945
11680	50.98057938
11690	61.10814667
11700	69.25700378
11710	75.21325684
11720	78.94245148
11730	81.03859711
11740	82.08235168
11750	82.77619171
11760	83.29970551
11770	83.7266922
11780	84.0901413
11790	84.3635025
11800	84.51346588
11810	84.42920685
11820	84.29291534
11830	84.02062988
11840	83.62182617
11850	83.26828766
11860	83.01931
11870	82.90873718
11880	82.94537354
11890	83.11785889
11900	83.55314636
11910	84.06269836
11920	84.70898438
11930	85.44350433
11940	86.16790771
11950	86.81552124
11960	87.50089264
11970	88.03546143
11980	88.49124146
11990	88.80488586
12000	88.95248413
12010	89.06356049
12020	89.13414764
12030	89.12699127
12040	89.16842651
12050	89.11566162
12060	89.11980438
12070	89.22163391
12080	89.28855896
12090	89.37956238
12100	89.47918701
12110	89.60559845
12120	89.70733643
12130	89.75395966
12140	89.73848724
12150	89.7171402
12160	89.6010437
12170	89.44218445
12180	89.27780151
12190	89.05477142
12200	88.85990143
12210	88.5370636
12220	88.27619171
12230	88.06860352
12240	87.856987
12250	87.71946716
12260	87.6103363
12270	87.58586884
12280	87.64202118
12290	87.82025909
12300	87.93527985
12310	88.18442535
12320	88.49617767
12330	88.84346771
12340	89.18196869
12350	89.44519806
12360	89.69277954
12370	90.00686646
12380	90.20602417
12390	90.42329407
12400	90.49743652
12410	90.53096008
12420	90.53678131
12430	90.5355835
12440	90.42564392
12450	90.29858398
12460	90.12737274
12470	89.9325943
12480	89.76049042
12490	89.63552856
12500	89.40812683
12510	89.21705627
12520	89.01025391
12530	88.92394257
12540	88.84466553
12550	88.75175476
12560	88.59481812
12570	88.5062561
12580	88.38101959
12590	88.20527649
12600	88.07881165
12610	87.91455078
12620	87.68777466
12630	87.46279907
12640	87.2230072
12650	86.8862915
12660	86.61956787
12670	86.38141632
12680	86.19115448
12690	85.98095703
12700	85.74433899
12710	85.60678101
12720	85.5176239
12730	85.5369339
12740	85.63478088
12750	85.78089142
12760	85.92770386
12770	86.21666718
12780	86.51031494
12790	86.87287903
12800	87.18558502
12810	87.54838562
12820	87.91294861
12830	88.27420807
12840	88.51568604
12850	88.69450378
12860	88.71309662
12870	88.67477417
12880	88.61530304
12890	88.45474243
12900	88.2556076
12910	88.01247406
12920	87.74115753
12930	87.41882324
12940	87.1108017
12950	86.96816254
12960	86.79524231
12970	86.69332886
12980	86.64123535
12990	86.6615448
13000	86.72596741
13010	86.93494415
13020	87.17323303
13030	87.41067505
13040	87.72750092
13050	87.96533203
13060	88.11980438
13070	88.14284515
13080	88.13819122
13090	88.08994293
13100	87.91165161
13110	87.62988281
13120	87.25012207
13130	86.79450989
13140	86.34075165
13150	85.88462067
13160	85.53282928
13170	85.31610107
13180	85.24131775
13190	85.41005707
13200	85.71342468
13210	86.08868408
13220	86.61026764
13230	87.11930847
13240	87.53939819
13250	87.67559814
13260	87.22625732
13270	86.0542984
13280	83.67017365
13290	80.02764893
13300	75.08383942
13310	68.62352753
13320	61.08792496
13330	53.51656723
13340	45.9041214
13350	38.48297119
13360	32.05689621
13370	26.30193901
13380	21.29693604
13390	17.28416061
13400	14.08520889
13410	11.39675713
13420	9.220962524
13430	7.580218315
13440	6.096495152
13450	4.927799702
13460	4.13083744
13470	3.384322405
13480	2.773630857
13490	2.300431967
13500	1.954217672
13510	1.5938586
13520	1.355126977
13530	1.1492908
13540	0.9656957388
13550	0.7804775834
13560	0.7056752443
13570	0.576462388
13580	0.5355325341
13590	0.439919889
13600	0.4192610383
13610	0.3454149067
13620	0.316647172
13630	0.2525762022
13640	0.1929542124
13650	0.2002223581
13660	0.1960151196
13670	0.1562417746
13680	0.1684629768
13690	0.1029599085
13700	0.1069416627
13710	0.1341598332
13720	0.1274361908
13730	0.0702775866
13740	0.1077929512
13750	0.0727786198
13760	0.0641519651
13770	0.0877180994
13780	0.0469594747
13790	0.0421851724
13800	0.0454980917
13810	0.0399875268
13820	0.0073840674
13830	0.0783771277
13840	0.0204406176
13850	0.0670274049
13860	0.0382975489
13870	0.0586038791
13880	0.0386067517
13890	0.0537930466
13900	0.008306914
13910	0.0440593623
13920	0.0436596237
13930	0.0341008492
13940	0.0110373143
13950	0.0082250731
13960	0.0118868807
13970	0.0070755444
13980	0.0223010555
13990	-0.0069924672
14000	0.0145019107
