# 2023/07/17 bakl: Manual normalize values from KGO_J_responce.txt  between 0 and 1
# wl,A	  Response
11000   0.00043190
11010   0.00035304
11020   0.00032602
11030   0.00083817
11040   0.00036786
11050   0.00046558
11060   0.00025144
11070   0.00015845
11080   0.00072052
11090   0.00009893
11100   0.00000000
11110   0.00023638
11120   0.00028014
11130   0.00026386
11140   0.00028246
11150   0.00058295
11160   0.00011600
11170   0.00031632
11180   0.00083578
11190   0.00066327
11200   0.00034855
11210   0.00045023
11220   0.00049375
11230   0.00042124
11240   0.00061602
11250   0.00044741
11260   0.00049380
11270   0.00064747
11280   0.00091498
11290   0.00090321
11300   0.00043542
11310   0.00058340
11320   0.00119398
11330   0.00102419
11340   0.00069103
11350   0.00085978
11360   0.00110726
11370   0.00116710
11380   0.00177042
11390   0.00204961
11400   0.00220371
11410   0.00293903
11420   0.00306490
11430   0.00399192
11440   0.00462395
11450   0.00541882
11460   0.00629299
11470   0.00688150
11480   0.00824667
11490   0.00903865
11500   0.01007284
11510   0.01127602
11520   0.01257231
11530   0.01448802
11540   0.01697010
11550   0.02007192
11560   0.02354532
11570   0.02934582
11580   0.03596160
11590   0.04571209
11600   0.05959034
11610   0.07744961
11620   0.10325554
11630   0.13830644
11640   0.18777052
11650   0.25456530
11660   0.34591644
11670   0.45083069
11680   0.56329071
11690   0.67510131
11700   0.76506651
11710   0.83082487
11720   0.87199601
11730   0.89513793
11740   0.90666121
11750   0.91432136
11760   0.92010107
11770   0.92481510
11780   0.92882766
11790   0.93184563
11800   0.93350125
11810   0.93257102
11820   0.93106633
11830   0.92806024
11840   0.92365735
11850   0.91975421
11860   0.91700544
11870   0.91578469
11880   0.91618917
11890   0.91809344
11900   0.92289911
11910   0.92852468
11920   0.93565982
11930   0.94376909
11940   0.95176666
11950   0.95891646
11960   0.96648311
11970   0.97238487
11980   0.97741678
11990   0.98087949
12000   0.98250901
12010   0.98373531
12020   0.98451461
12030   0.98443560
12040   0.98489306
12050   0.98431052
12060   0.98435626
12070   0.98548048
12080   0.98621935
12090   0.98722404
12100   0.98832392
12110   0.98971953
12120   0.99084274
12130   0.99135747
12140   0.99118666
12150   0.99095098
12160   0.98966925
12170   0.98791541
12180   0.98610058
12190   0.98363828
12200   0.98148687
12210   0.97792267
12220   0.97504259
12230   0.97275077
12240   0.97041447
12250   0.96889622
12260   0.96769139
12270   0.96742127
12280   0.96804120
12290   0.97000899
12300   0.97127884
12310   0.97402947
12320   0.97747128
12330   0.98130544
12340   0.98504257
12350   0.98794868
12360   0.99068203
12370   0.99414962
12380   0.99634837
12390   0.99874708
12400   0.99956562
12410   0.99993573
12420   1.00000000
12430   0.99998678
12440   0.99877302
12450   0.99737025
12460   0.99548004
12470   0.99332964
12480   0.99142958
12490   0.99004997
12500   0.98753940
12510   0.98542994
12520   0.98314680
12530   0.98219390
12540   0.98131866
12550   0.98029291
12560   0.97856029
12570   0.97758255
12580   0.97619991
12590   0.97425967
12600   0.97286347
12610   0.97104999
12620   0.96854633
12630   0.96606255
12640   0.96341519
12650   0.95969778
12660   0.95675309
12670   0.95412384
12680   0.95202331
12690   0.94970268
12700   0.94709037
12710   0.94557170
12720   0.94458738
12730   0.94480057
12740   0.94588082
12750   0.94749392
12760   0.94911476
12770   0.95230498
12780   0.95554691
12790   0.95954970
12800   0.96300205
12810   0.96700745
12820   0.97103230
12830   0.97502069
12840   0.97768666
12850   0.97966085
12860   0.97986611
12870   0.97944303
12880   0.97878645
12890   0.97701383
12900   0.97481533
12910   0.97213109
12920   0.96913569
12930   0.96557705
12940   0.96217642
12950   0.96060165
12960   0.95869258
12970   0.95756743
12980   0.95699230
12990   0.95721652
13000   0.95792776
13010   0.96023491
13020   0.96286568
13030   0.96548709
13040   0.96898492
13050   0.97161063
13060   0.97331604
13070   0.97357041
13080   0.97351903
13090   0.97298636
13100   0.97101798
13110   0.96790719
13120   0.96371455
13130   0.95868449
13140   0.95367490
13150   0.94863911
13160   0.94475525
13170   0.94236253
13180   0.94153690
13190   0.94339982
13200   0.94674907
13210   0.95089201
13220   0.95665041
13230   0.96227034
13240   0.96690822
13250   0.96841190
13260   0.96345108
13270   0.95051239
13280   0.92419112
13290   0.88397683
13300   0.82939608
13310   0.75807279
13320   0.67487806
13330   0.59128858
13340   0.50724548
13350   0.42531433
13360   0.35436903
13370   0.29083302
13380   0.23557667
13390   0.19127473
13400   0.15595759
13410   0.12627648
13420   0.10225523
13430   0.08414104
13440   0.06776041
13450   0.05485775
13460   0.04605911
13470   0.03781742
13480   0.03107525
13490   0.02585103
13500   0.02202874
13510   0.01805030
13520   0.01541465
13530   0.01314217
13540   0.01111524
13550   0.00907039
13560   0.00824456
13570   0.00681802
13580   0.00636614
13590   0.00531056
13600   0.00508248
13610   0.00426720
13620   0.00394960
13630   0.00324224
13640   0.00258400
13650   0.00266424
13660   0.00261779
13670   0.00217869
13680   0.00231361
13690   0.00159044
13700   0.00163440
13710   0.00193490
13720   0.00186067
13730   0.00122962
13740   0.00164380
13750   0.00125724
13760   0.00116200
13770   0.00142217
13780   0.00097219
13790   0.00091948
13800   0.00095605
13810   0.00089522
13820   0.00053527
13830   0.00131905
13840   0.00067941
13850   0.00119374
13860   0.00087656
13870   0.00110074
13880   0.00087997
13890   0.00104763
13900   0.00054545
13910   0.00094017
13920   0.00093576
13930   0.00083023
13940   0.00057560
13950   0.00054455
13960   0.00058498
13970   0.00053186
13980   0.00069995
13990   0.00037655
14000   0.00061385
