# Table 3 
# Magnitudes of the Sun
# DOI 10.3847/1538-4365/aabfdf
# Filter	Abs	Abs	Abs	App	App	App	Vega	Vega	${\lambda }_{\mathrm{pivot}}$	Source	
# (1)	(2) 	(3) 	(4) 	(5) 	(6) 	(7) 	(8) 	(9) 	(10)	(11)	
# filter   	absVega	absAB	absST	visVega	 visAB	visST	offAB	offST	pivot  src 		
Johnson_U	5.61	6.33	5.42	-25.97	-25.25	-26.15	0.721	-0.183	0.3611	1	
Johnson_B	5.44	5.31	4.84	-26.13	-26.26	-26.74	-0.128	-0.605	0.4396	1	
Johnson_V	4.81	4.80	4.81	-26.76	-26.77	-26.76	-0.013	0.001	0.5511	1	
Cousins_R	4.43	4.60	5.00	-27.15	-26.97	-26.57	0.178	0.578	0.6582	1	
Cousins_I	4.10	4.51	5.35	-27.47	-27.06	-26.22	0.414	1.247	0.8034	1	
Tycho_Bt	5.58	5.48	4.91	-25.99	-26.09	-26.66	-0.097	-0.667	0.4212	1	
Tycho_Vt	4.88	4.85	4.79	-26.69	-26.72	-26.78	-0.035	-0.091	0.5335	1	
Hipparcos_Hp	4.87	4.87	4.88	-26.70	-26.70	-26.69	-0.002	0.011	0.5508	1	
2MASS_J	3.67	4.54	6.31	-27.90	-27.03	-25.26	0.870	2.644	1.2393	2	
2MASS_H	3.32	4.66	7.06	-28.25	-26.91	-24.51	1.344	3.739	1.6495	2	
2MASS_Ks	3.27	5.08	8.07	-28.30	-26.49	-23.50	1.814	4.798	2.1638	2	
SDSS_u	5.49	6.39	5.45	-26.08	-25.18	-26.12	0.900	-0.037	0.3556	3	
SDSS_g	5.23	5.11	4.78	-26.34	-26.47	-26.80	-0.125	-0.456	0.4702	3	
SDSS_r	4.53	4.65	4.91	-27.04	-26.93	-26.66	0.119	0.380	0.6176	3	
SDSS_i	4.19	4.53	5.21	-27.38	-27.05	-26.37	0.332	1.012	0.7490	3	
SDSS_z	4.01	4.50	5.57	-27.56	-27.07	-26.00	0.494	1.560	0.8947	3	
DES_u	5.83	6.14	5.38	-25.74	-25.44	-26.20	0.307	-0.452	0.3859	4	
DES_g	5.17	5.05	4.78	-26.41	-26.52	-26.80	-0.114	-0.391	0.4820	4	
DES_r	4.45	4.61	4.96	-27.12	-26.96	-26.61	0.159	0.505	0.6423	4	
DES_i	4.14	4.52	5.29	-27.43	-27.05	-26.28	0.382	1.152	0.7807	4	
DES_z	4.01	4.50	5.62	-27.56	-27.07	-25.95	0.493	1.610	0.9158	4	
